"1","FBgn0039155"
"2","FBgn0003360"
"3","FBgn0026562"
"4","FBgn0025111"
"5","FBgn0029167"
"6","FBgn0035085"
"7","FBgn0039827"
"8","FBgn0264475"
"9","FBgn0034736"
"10","FBgn0000071"
